"Place_Name","Place_ID","user_ratings_total","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","wikipedia2VecVocab","wikipedia2VecVocabKouho"
"Gate J.","ChIJCSxVROqLGGARvoCrJ01g4jc","194","0","9","0","2","6","0","20","0","3","12","ENTITY/Gate J.",""
"Takeshiba Ship Terminal","ChIJKSgs1NGLGGAR-VKyI3yWIxE","2036","0","3","0","0","3","4","5","1","5","3","ENTITY/Takeshiba Ship Terminal",""
"Shiba Toshogu","ChIJYeawQLmLGGAR2BdgTIsnMW0","795","2","6","2","2","6","3","15","0","3","8","ENTITY/Shiba Toshogu",""
"Seishōji Temple","ChIJfy9hNJSLGGAR41_DfA3WUB0","226","0","6","0","2","5","0","11","1","3","7","ENTITY/Seishōji Temple",""
"Hinode Pier","ChIJFU3ezs2LGGARbErm6rqTfHw","209","1","8","0","1","7","3","14","1","5","4","ENTITY/Hinode Pier",""
"Toranomon Kotohiragu","ChIJdc_l942LGGAR_f4Ot6q7ISo","1885","1","14","1","4","14","1","24","0","9","13","ENTITY/Toranomon Kotohiragu",""
"Statue Of Admiral Perry","ChIJnRUazbiLGGARe6zV9fDyv74","56","1","5","0","0","3","3","13","1","2","5","ENTITY/Statue Of Admiral Perry",""
"Former Daitokuin Reibyo Somon Gate","ChIJs8x7KbmLGGARa5QzTOovN48","168","0","1","0","2","3","3","9","1","2","2","ENTITY/Former Daitokuin Reibyo Somon Gate",""
"Zōjō Ji Treasures Gallery","ChIJMzFnjb6LGGARxIoAHgyGjLo","57","2","15","1","3","10","4","25","1","4","10","ENTITY/Zōjō Ji Treasures Gallery",""
"Monument For Ino Tadataka'S National Surveying","ChIJzbo6ULmLGGARquBQ7IuT4-Y","49","1","7","1","2","7","5","16","3","3","9","ENTITY/Monument For Ino Tadataka'S National Surveying",""
"Shiba Park","ChIJaYt93b6LGGARRTt3Y7YkqVg","15018","1","11","0","3","12","3","24","2","7","13","ENTITY/Shiba Park",""
"Shiba Park 4th Block","ChIJo_JFxL-LGGARdeXGPqUzSjY","543","0","4","1","0","8","2","13","1","0","2","ENTITY/Shiba Park 4th Block",""
"Snake Mound","ChIJQRMvwr2LGGARC3GHLt8p1wY","70","3","21","9","11","20","17","39","4","19","17","ENTITY/Snake Mound",""
